stop_name;direction_id;ligne;stop_id;stop_id_gtfs;stop_name_gtfs;jaccard;distance
LES ROSIERS;0;163;930;StopPoint:59:4023193;LES ROSIERS;0;112.944936
LIBERTE;0;163;977;StopPoint:59:4023199;LIBERTE;0;14.34048433
LES FONTENELLES;0;163;931;StopPoint:59:4023195;LES FONTENELLES;0;66.0072009
FERNAND LEGER;0;163;932;StopPoint:59:4023197;FERNAND LEGER;0;298.5887439
PALAIS DES SPORTS;0;163;933;StopPoint:59:6456134;PALAIS DES SPORTS;0;34.37854983
SADICARNOTJOLIOTCURIE;0;163;934;StopPoint:59:6456138;SADI CARNOT  JOLIOT CURIE;0.151885476;22.41615941
PLACE DE LA BOULELENINE;0;163;971;StopPoint:59:7069339;PLACE DE LA BOULE  LENINE;0.02150376;42.40562012
PIERRE SERGENT;0;163;935;StopPoint:59:7069311;PIERRE SERGENT;0;9.805501662
LES CHAILLIERS;0;163;936;StopPoint:59:4023980;LES CHAILLIERS;0;205.9002194
EUGENE SUE;0;163;937;StopPoint:59:4023211;EUGENE SUE;0;260.5301892
08-may-45;0;163;938;StopPoint:59:5761357;8 MAI 1945;0.454455274;193.7323915
COLLEGE PASSYBUZENVAL;0;163;964;StopPoint:59:4023215;COLLEGE PASSY  BUZENVAL;0.044220991;33.83263082
PREFECTURE DES HAUTSDESEINE;0;163;914;StopPoint:59:6187668;PREFECTURE DES HAUTSDESEINE;0;29.19568773
PLACE DE LA BOULEJOLIOT CURIE;1;163;161;StopPoint:59:6187527;PLACE DE LA BOULE  JOLIOT CURIE;0.016242379;26.92049945
CHARLEBOURG;1;163;165;StopPoint:59:6187696;LA GARENNECOLOMBES  CHARLEBOURG;0.167949706;20.38080806
MAIRIE DE LA GARENNECOLOMBES;1;163;76;StopPoint:59:6187667;MAIRIE DE LA GARENNECOLOMBES;0;11.8014983
SOUVENIR FRANCAIS;1;163;167;StopPoint:59:6187681;SOUVENIR FRANCAIS;0;33.5348951
PLAISANCE;1;163;168;StopPoint:59:6187686;PLAISANCE;0;15.40358987
EUROPE;1;163;169;StopPoint:59:6187679;EUROPE;0;11.65493137
VERDUNRUE LATERALE;1;163;170;StopPoint:59:6187693;VERDUN  RUE LATERALE;0.039841283;34.53480389
PAIXVERDUN;1;163;171;StopPoint:59:6187665;PAIX  VERDUN;0.154845745;20.66475408
PONT BINEAU;1;163;172;StopPoint:59:6187677;PONT BINEAU;0;54.89213343
ILE DE LA JATTE;1;163;173;StopPoint:59:6187663;ILE DE LA JATTE;0;21.40796425
LA SAUSSAYEBINEAU;1;163;174;StopPoint:59:6187691;LA SAUSSAYE  BINEAU;0.042359236;54.83348218
BINEAUCHATEAU;1;163;175;StopPoint:59:6187684;BINEAU  CHATEAU;0.077041793;35.90112611
CHEZY;1;163;176;StopPoint:59:6187675;CHEZY;0;31.80835894
INKERMANNBINEAU;1;163;177;StopPoint:59:6187673;INKERMANN  BINEAU;0.055599718;15.92134124
VICTOR HUGO;1;163;178;StopPoint:59:6187671;VICTOR HUGO;0;33.72024362
